idade,profissao,educacao,meio_contato,mes,dia_da_semana,duracao,dias_ultimo_contato,qtd_contatos_total,campanha_anterior,indice_precos_consumidor,indice_confianca_consumidor,euribor3m,numero_empregados,resultado
45,1,4,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
42,6,6,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
53,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
37,4,4,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
44,3,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
54,1,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
49,3,0,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
54,1,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
52,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
52,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
43,1,1,0,5,1,3,0,0,0,93.99,-36.4,4.86,5191,0
34,0,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
35,2,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
42,10,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
43,4,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
60,5,6,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
58,7,0,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
35,1,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
55,3,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
37,6,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
36,3,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
52,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
57,3,6,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
56,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
48,3,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
40,3,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
49,3,1,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
41,1,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
45,4,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
32,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
42,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
50,2,2,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
31,4,4,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
56,5,0,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
41,4,4,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,1
37,3,2,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
41,4,4,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
35,3,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
37,3,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
52,6,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
39,6,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
39,0,0,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
56,3,0,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
34,1,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
45,3,3,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,1
43,7,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
56,6,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
39,6,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
53,3,0,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
38,2,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
42,3,0,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
42,3,0,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
35,2,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
40,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
51,3,0,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
60,3,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
56,10,6,0,5,1,3,0,0,0,93.99,-36.4,4.86,5191,0
39,1,1,0,5,1,3,0,0,0,93.99,-36.4,4.86,5191,0
56,10,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
40,3,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
36,3,3,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
51,3,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
51,3,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
43,4,4,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
59,1,1,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
24,6,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
37,3,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
40,3,3,0,5,1,3,0,0,0,93.99,-36.4,4.86,5191,0
42,3,3,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
39,1,1,0,5,1,7,0,0,0,93.99,-36.4,4.86,5191,0
37,10,2,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
38,1,1,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
56,2,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
40,3,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
54,6,6,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
43,3,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
36,1,1,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
45,4,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
42,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
43,1,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
46,6,3,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
44,1,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
51,2,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
28,1,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
37,3,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
34,4,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
46,3,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
42,3,3,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,1
36,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
54,3,0,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
57,6,6,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
51,4,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
54,5,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
49,3,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
34,2,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
41,4,4,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
38,3,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
45,6,6,0,5,1,2,0,0,0,93.99,-36.4,4.86,5191,0
42,4,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
34,3,3,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
48,3,0,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
37,2,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
34,3,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
40,2,3,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
43,3,2,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
33,1,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
32,1,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
39,3,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
43,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
44,3,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
35,11,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
35,11,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
35,7,4,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
36,1,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
35,11,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
36,11,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
55,0,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
59,2,6,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
57,5,6,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
39,3,4,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
39,0,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
30,3,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
30,3,6,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
50,0,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
40,1,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
35,2,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
43,4,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
36,1,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
46,4,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
40,4,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
58,5,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
42,4,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
35,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
43,5,0,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
45,3,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
39,2,4,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
50,1,4,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
32,6,0,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
39,2,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
52,8,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
44,2,4,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
56,3,0,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
48,2,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
33,1,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
43,6,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
57,5,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
36,4,4,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
34,6,6,0,5,1,2,0,0,0,93.99,-36.4,4.86,5191,0
34,1,3,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
30,4,6,0,5,1,3,0,0,0,93.99,-36.4,4.86,5191,0
33,1,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
32,4,4,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
36,4,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
36,3,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
33,1,1,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
40,4,4,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
41,3,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
51,1,2,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
36,4,4,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
28,1,6,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
53,1,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
58,3,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
45,6,3,0,5,1,3,0,0,0,93.99,-36.4,4.86,5191,0
43,4,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
33,2,1,0,5,1,3,0,0,0,93.99,-36.4,4.86,5191,0
33,2,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
27,3,2,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
42,4,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
43,2,3,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
42,2,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
27,3,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
34,8,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
31,11,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
54,6,6,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
40,8,0,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
52,7,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
47,6,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
49,0,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
32,2,1,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
49,0,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
50,3,3,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
34,1,1,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
55,3,0,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
47,4,3,0,5,1,2,0,0,0,93.99,-36.4,4.86,5191,0
51,5,4,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
47,3,2,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
56,4,0,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
53,2,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
36,3,3,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
42,3,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
44,3,2,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
39,0,3,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,1
37,2,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
60,3,6,0,5,1,1,0,0,0,93.99,-36.4,4.86,5191,0
36,1,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
42,6,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
31,2,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
53,4,4,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
45,3,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
37,4,4,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
47,8,4,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
49,3,1,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
36,2,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
35,1,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
38,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
38,1,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
50,3,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
59,5,4,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
43,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
42,2,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
40,2,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
46,3,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
57,0,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
42,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
41,3,0,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
54,6,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
27,2,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
36,2,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
58,3,4,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
40,6,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
34,2,3,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
33,2,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
56,5,2,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
42,3,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
43,1,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
54,6,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
53,2,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
42,4,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
40,1,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
54,4,4,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
40,0,4,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
26,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
33,2,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
35,3,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
36,2,1,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
29,1,1,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
36,3,3,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
35,6,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
50,8,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
46,1,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
49,10,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
42,4,4,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
36,3,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
55,3,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
41,6,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
57,6,4,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
32,1,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
49,2,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
57,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
58,3,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
52,4,1,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
50,1,4,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
41,3,3,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
33,10,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
57,3,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
48,3,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
55,4,4,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
38,6,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
38,1,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
53,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
43,7,6,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
36,3,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
32,3,3,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
33,1,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
58,10,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
40,7,1,0,5,2,4,0,0,0,93.99,-36.4,4.86,5191,0
57,6,6,0,5,2,5,0,0,0,93.99,-36.4,4.86,5191,0
45,4,1,0,5,2,5,0,0,0,93.99,-36.4,4.86,5191,0
